step,track_id,innov_x,innov_y,S00,S01,S10,S11
1,1,0,0,0,0,0,0
2,1,-2.9550502282677087,-7.6051050152836979,22.000003515625,0,0,22.000003515625
2,2,0,0,0,0,0,0
3,1,4.7811598891779568,0.8829671614301704,20.863657319373505,0,0,20.863657319373505
3,2,0,0,0,0,0,0
4,1,4.6687673232482183,-3.6350897227219749,20.470626581389286,0,0,20.470626581389286
4,2,-7.4603573815194721,0.82908820996190746,34.00003515625,0,0,34.00003515625
5,1,-2.7951206100352977,3.642595532653381,19.008671572580543,0,0,19.008671572580543
5,2,8.6203677243265275,2.6805337732477601,21.970621560717852,0,0,21.970621560717852
6,1,-1.2601076705142162,4.478572970319755,17.412310002190836,0,0,17.412310002190836
6,2,-6.7666414892748605,1.6630244654950133,19.084385962312197,0,0,19.084385962312197
7,1,-6.1846492857198143,3.3414960474833157,16.082363198534317,0,0,16.082363198534317
7,2,-3.1442470846515391,-4.623840790481772,17.43756650827228,0,0,17.43756650827228
8,1,5.2567005472744057,6.1725950433252521,15.0461559383496,0,0,15.0461559383496
8,2,2.9463393245665941,-1.1977918429852954,16.205365559156686,0,0,16.205365559156686
9,1,-3.1969352549259185,1.8900207402188274,14.243789005006221,0,0,14.243789005006221
9,2,3.7353740784307519,1.795454607800133,15.229753360664832,0,0,15.229753360664832
10,1,2.1249280929066288,-4.8749631332225203,13.614644828767354,0,0,13.614644828767354
10,2,0,0,0,0,0,0
11,1,-6.9235047036770538,1.7261223798010321,13.112627348454744,0,0,13.112627348454744
11,2,2.9151831932125987,-2.09376535382482,16.70101854553312,0,0,16.70101854553312
12,1,1.4951103214866919,-1.5387736489481187,12.704894661854704,0,0,12.704894661854704
12,2,3.7519407577585753,-0.080029449993720969,14.64393597420715,0,0,14.64393597420715
13,1,1.5989223789567859,-1.171792999165769,12.368269796391591,0,0,12.368269796391591
13,2,0.97871478204731943,-5.8226414186941229,13.582035040923204,0,0,13.582035040923204
14,1,-0.24415169025297701,2.2176823083306463,12.086246647901458,0,0,12.086246647901458
14,2,4.2250436056911553,0.097808141579848185,12.918561129442161,0,0,12.918561129442161
15,1,2.8552078646218035,3.8725177692955004,11.846885224923362,0,0,11.846885224923362
15,2,-0.52162121920632387,-4.0145394144409305,12.456003294645418,0,0,12.456003294645418
16,1,0,0,0,0,0,0
16,2,-3.6145750246952701,1.594766374346626,12.109877745560206,0,0,12.109877745560206
17,1,-4.7796329019928834,-3.4365494174055646,12.183979167025761,0,0,12.183979167025761
17,2,0,0,0,0,0,0
18,1,1.220974199034643,3.0660546139143903,11.801558796091079,0,0,11.801558796091079
18,2,2.1715039122205866,3.2637230592711126,12.438704800902981,0,0,12.438704800902981
19,1,-1.5569841888889329,-4.180224387213352,11.519084454543551,0,0,11.519084454543551
19,2,-1.7956402739676633,-0.71055325528397995,11.978514374684922,0,0,11.978514374684922
20,1,-0.71479297156956534,-0.71325350268593279,11.300037477119316,0,0,11.300037477119316
20,2,-3.0632840177102025,2.2088441337333391,11.651407578315085,0,0,11.651407578315085
21,1,0.97018956533129597,-1.1903079181130471,11.123947705840262,0,0,11.123947705840262
21,2,1.3067462650813155,1.6477826230552197,11.404677837157967,0,0,11.404677837157967
22,1,0.6539547749820116,0.7069773094986409,10.978428943081111,0,0,10.978428943081111
22,2,0,0,0,0,0,0
23,1,-0.26617364241536734,-3.203593390734933,10.855533000486819,0,0,10.855533000486819
23,2,3.854588633639068,2.6068656108127817,11.555399792539887,0,0,11.555399792539887
24,1,-8.0764136714861934,0.66383737361410489,10.749915818986077,0,0,10.749915818986077
24,2,5.3290385842602603,-3.2000285001281998,11.284926323599976,0,0,11.284926323599976
25,1,-1.0353940537899149,1.9872888154701993,10.657844809293891,0,0,10.657844809293891
25,2,5.8281249393399719,1.3463864867456259,11.079155870224497,0,0,11.079155870224497
26,1,2.1704761766861651,3.4294158301533533,10.576628928895003,0,0,10.576628928895003
26,2,3.8148497549441913,-0.22117613383094539,10.916426973459819,0,0,10.916426973459819
27,1,-1.077750605825571,3.4092744166221802,10.504275234769953,0,0,10.504275234769953
27,2,-0.83391178382721876,-0.63403544199813244,10.78383632805485,0,0,10.78383632805485
28,1,-4.2820303778085815,-4.5982396920658672,10.439273350279556,0,0,10.439273350279556
28,2,4.8540857918243603,3.5795346443681151,10.673213900214883,0,0,10.673213900214883
29,1,0.61323676694736662,4.5558791490163237,10.380455458738517,0,0,10.380455458738517
29,2,5.2929366395887314,-0.14710598275497871,10.579132053548465,0,0,10.579132053548465
30,1,0,0,0,0,0,0
30,2,-3.1019793263286317,8.9063452233270155,10.497842186237499,0,0,10.497842186237499
31,1,-0.65808701776198575,-2.7380233705427659,10.466109186733824,0,0,10.466109186733824
31,2,3.8965756353605769,-3.5244124990457468,10.426670843600114,0,0,10.426670843600114
32,1,-2.2910661931371834,1.4018350993735356,10.388508545336157,0,0,10.388508545336157
32,2,-7.2288094473601632,0.61646001820488538,10.36365911886549,0,0,10.36365911886549
33,1,-0.22700732223029263,-2.3081827337509768,10.320896456519073,0,0,10.320896456519073
33,2,-4.2443337610186518,-7.7201437959361279,10.307338127356173,0,0,10.307338127356173
34,1,-2.8279192015985757,3.9749507918283395,10.261322452363167,0,0,10.261322452363167
34,2,7.0901779083368552,-2.9931901359734594,10.256584164245041,0,0,10.256584164245041
35,1,1.8016594019638319,0.49786065828399079,10.208324963124042,0,0,10.208324963124042
35,2,-3.3132359632736268,-4.127767018998493,10.21052238350738,0,0,10.21052238350738
36,1,-4.244829017175249,-0.72751839221581549,10.160786445404367,0,0,10.160786445404367
36,2,2.3460835077416249,-0.3243534238062043,10.168461033651731,0,0,10.168461033651731
37,1,9.2326145349993567,-1.8940326548026043,10.117837219202736,0,0,10.117837219202736
37,2,-3.6450411206661357,-0.69515114815185297,10.129845508742276,0,0,10.129845508742276
38,1,-2.0618905530104428,0.96163015136373597,10.078789907333791,0,0,10.078789907333791
38,2,0.087366208813250523,3.6925779851436089,10.094225583752424,0,0,10.094225583752424
39,1,-2.0411054866684708,0.23434436947328893,10.043093678428823,0,0,10.043093678428823
39,2,0,0,0,0,0,0
