step,true_id,zx,zy
0,1,-42.5702815040489,65.615207465206282
0,2,89.682784535228151,95.026099299474751
0,3,-57.75287601835538,20.932688657845084
1,1,-48.460783734750429,64.959740630616309
1,2,84.944678442741079,93.587244109812417
1,3,-60.19851849237881,26.059877726353463
2,1,-41.824146324032867,72.384831074410144
2,2,90.802881641556297,99.194080102723916
2,3,-56.364443256717195,22.643723455567027
3,1,-41.696412541656883,72.394056985515959
3,2,88.148421046854381,89.987049449041521
3,3,-53.388937041831142,25.462409607017037
4,1,-48.980108162690392,73.178822998065002
4,3,-54.506929194486723,21.724922593467827
5,1,-50.066707985778791,71.935161156449354
5,2,90.67285600585322,92.173954511952104
5,3,-53.378822553809471,18.593502145926713
6,1,-48.40427733905176,68.115023543361161
6,2,95.657707081074392,94.174881678096682
6,3,-55.113263533422398,22.013986977141041
7,1,-48.321229044941688,71.78504448202078
7,3,-51.739712658317657,19.188095323867554
8,1,-52.038338326732188,70.451025741854167
8,2,95.359379475602296,89.709332917494649
8,3,-52.220221731696832,23.758980326868535
9,1,-46.98546232870531,70.56019483231249
9,2,85.918489304886549,95.606796252351955
9,3,-52.570097136569792,25.14704853116876
10,1,-48.627955596125545,69.950327862735946
10,2,96.68028581885757,93.937435461641556
10,3,-46.068877375288785,18.750824709666251
11,2,96.198189500980661,90.24168767106903
11,3,-50.341744756302418,18.368410397056739
12,1,-51.520535417503304,70.276757655609629
12,2,89.239673687397953,91.500298321787923
12,3,-45.344389967124904,18.352920875836045
13,2,87.663720095553558,97.499328078204869
13,3,-46.987986202222942,12.064975532028834
14,1,-57.472532405763339,70.909594739123762
14,2,90.152347042933641,87.518579610872919
14,3,-43.933305137759959,20.805151754968495
15,1,-56.808672679965902,69.563813812999967
15,2,87.397693462522454,87.993772618553677
15,3,-39.185274631963615,18.270732148473936
16,1,-59.271404661890237,69.923461855112947
16,2,85.584427556033674,94.667249073158345
17,1,-54.33378541953045,74.097378504679313
17,2,92.450379158255288,85.503574878380448
17,3,-41.96203127464328,19.916981133101647
18,1,-57.990383044380813,70.656187016720821
18,2,84.242867175119429,94.364999270851641
18,3,-38.963365676751316,18.518818903631786
19,1,-58.296112332038064,76.296910685127855
20,1,-52.952247119942911,75.672735032286297
20,2,90.462705000924316,90.623625700299854
20,3,-39.439640264537651,20.290640949664915
21,1,-51.05718410431539,74.490590184409228
21,2,91.015534764340231,89.180198141615477
21,3,-34.435205005880469,15.815413215109023
22,1,-60.28115615483518,77.65036469694968
22,2,90.724064789973525,92.216773584490682
22,3,-38.934654368841493,17.197966959208241
23,1,-50.948985989594114,76.606912565491484
23,2,87.250832084358862,87.576663107693648
23,3,-35.826029396632514,22.013238361444028
24,1,-60.670918181212919,77.101102026915058
25,1,-51.329710611991814,75.867029230990397
25,2,87.258303323643759,90.486674749204042
25,3,-36.860034854970195,16.407826324613577
26,1,-66.047483039683172,78.168250280868065
26,3,-37.477916721929418,15.049701608827815
27,1,-59.17320360510945,72.332921759730269
27,2,89.97296983760323,87.225937165559884
27,3,-28.512304747589472,16.548453419047018
28,1,-63.113398316995756,81.092525967856574
28,2,84.604669256771757,90.963767825170038
28,3,-31.799771354030142,15.325442092893873
29,1,-63.213993287840296,74.234652711627959
29,2,88.243526915770246,81.433965830353458
29,3,-32.185211291745929,8.940118368626873
30,1,-64.279080466151044,79.741840209843744
30,2,82.348341008964823,93.84749042070608
30,3,-33.086097568284501,17.192694630607921
31,1,-65.732237532245748,78.428794849282056
31,2,85.932939121093384,86.649286018029755
31,3,-31.075594787679275,14.621568205380564
32,1,-68.489412711830383,85.411540517024179
32,2,86.855641874759343,93.327136841400772
32,3,-28.518438062455111,12.495025107444935
33,1,-65.981918809355875,84.239954096381666
33,2,81.993536094454143,89.741163346279578
33,3,-30.245383956993201,22.368139901705266
34,1,-62.908101243312778,86.676696164061752
34,2,83.315185297897926,88.362090231878994
34,3,-24.46117538529726,17.214370946057421
35,1,-69.633483935849142,76.24478944286372
35,2,84.902693686775351,92.016748828916192
36,1,-67.365456544526964,85.707787692711491
36,2,82.000607511615286,90.668435264571997
37,1,-63.37218573274842,81.543537436053612
37,2,88.341016241497229,89.225758356055337
37,3,-30.300317158965164,17.030071285636893
38,1,-65.244240323261693,85.901307471302616
38,2,83.744183732160749,91.356007002091616
38,3,-29.280956180772719,11.855519731092059
39,1,-64.413055588984477,79.88071914825592
39,2,80.866506917618267,91.638740283363106
39,3,-25.933069288311287,3.3230333674107069
40,1,-68.181919355928045,80.271524268178325
40,2,78.206158118773175,87.365353648382708
40,3,-21.597695785276656,11.144282966842445
41,2,82.785492238928256,85.62719869592911
41,3,-17.913049768509048,12.357316298600542
42,1,-72.491302124557578,74.80207870882802
42,2,81.957426526708304,89.170797559656506
43,1,-69.921701291587226,79.097947779983031
43,3,-18.175179720714368,11.265081203723136
44,1,-72.432730380780384,85.925519782617158
44,2,88.050262026450582,85.93934507287095
44,3,-25.504270802859537,10.595181513553751
45,1,-70.244617219685139,84.222691308607864
45,2,78.243420449820405,88.665318143470245
45,3,-17.464730808709099,10.71842850728491
46,1,-69.381298324370434,84.736201556918559
46,2,81.304378705880907,88.337687956554703
46,3,-16.399890964782841,10.077786976644544
47,1,-72.007665047326412,85.779324603848295
47,2,78.425426640496397,91.474803895189225
47,3,-13.69750224311616,14.484765925994058
48,1,-76.858178481073978,84.585759821481687
48,2,79.315521636744876,86.628845497181516
48,3,-18.951597940641925,6.7369704382079956
49,1,-76.555061432255343,87.957766262757659
49,2,80.371542934597244,91.948019490514895
49,3,-15.224016417853584,11.257709442567366
50,1,-75.984695745914522,88.614710169023382
50,2,83.373227170916948,88.487748171044075
50,3,-17.614706825029764,8.1334021719373943
51,2,80.244942104701352,91.977298872604976
51,3,-16.301988891667506,7.5613499091264655
52,1,-78.911668096425501,83.969527610262105
52,2,81.965133109053184,89.529823024807698
52,3,-12.583153667941607,7.4726240703802862
53,1,-79.235305019895563,84.770213850379193
53,3,-8.9230900201192433,5.7584171101767092
54,1,-74.772790633632013,91.014627492984218
54,2,76.371184798146444,90.8611064955807
54,3,-13.815245959498325,10.374842929293584
55,1,-81.600885082303051,87.946647612462812
55,2,84.857838385833844,91.93258973387799
55,3,-4.0794387599607003,7.5005490802405346
56,1,-78.086474182443567,88.58615026488161
56,2,81.66642898328044,85.987252647511809
56,3,-9.7855276343165691,7.3377900671242724
57,2,83.151834899385875,91.430724190206874
57,3,-12.874994446457128,4.2181776113995548
58,2,75.992007695148786,83.747197967443114
58,3,-3.5572311452158445,7.9819127278024204
59,1,-79.948876359435772,85.578610701488131
59,2,76.880802500319902,93.25897245188051
60,1,-81.399356246378517,87.905928077380636
60,2,75.835968297440914,96.242431122706648
60,3,-6.1693395614376048,5.3531758781809433
61,1,-82.96425445996573,93.626603710407309
61,2,74.725418174749066,93.639314870256442
61,3,-4.4022866641576215,6.8456973335189266
62,1,-76.07461770573056,88.865228900292351
62,2,74.091006891100804,90.798912227139155
62,3,-5.2672067931576532,6.4627598207654717
63,1,-84.50440226125346,86.329942558858733
63,2,78.14425805620138,84.325149347557229
63,3,-4.9606200526366653,7.9714989857910723
64,1,-86.458758173966118,90.994678622160734
64,2,73.784124072470064,85.584519119711103
64,3,-5.3481356801953019,2.7072092940450307
65,1,-85.038516651776618,85.935429027525814
65,2,76.584739209257236,87.871385644072674
65,3,-3.5186018593351935,8.1105361146077257
