step,track_id,confirmed,x,y,vx,vy,misses,hits,maha2
0,1,0,-42.5702815040489,65.615207465206282,0,0,0,1,0
0,2,0,89.682784535228151,95.026099299474751,0,0,0,1,0
0,3,0,-57.75287601835538,20.932688657845084,0,0,0,1,0
1,1,0,-45.842783197841513,65.251059173191265,-13.090043590802987,-1.4565972647270435,0,2,1.7346986272887517
1,2,0,87.05050300714079,94.226735194195143,-10.52915572550738,-3.1974654139618139,0,2,1.2108616959775653
1,3,0,-59.111566470408675,23.781127424855001,-5.4347770934760016,11.393787112965779,0,2,1.5935421853176552
2,1,1,-44.160712909716771,68.781534727580905,2.4871839439563193,22.565558754121067,0,3,4.0985135970248807
2,2,1,88.663466124051169,96.630474239870864,3.7337214857652921,13.893368667026499,0,3,2.4775972910760959
2,3,1,-57.873872391011012,23.497269043694082,4.6281593606150286,5.7034404654494475,0,3,0.66820448160283763
3,1,1,-42.866380029521295,71.151938113993666,10.287061138999858,30.846450966950453,0,4,0.64704242722805738
3,2,1,88.499285693659445,93.656086347113003,1.3945956676989391,-10.567171925668672,0,4,3.0188830504027901
3,3,1,-55.515695101672499,24.622427560900046,18.806717194398257,11.303388219308061,0,4,1.161929672477618
4,1,1,-45.571393683253412,72.929620460770508,-8.6505762964597199,32.230933981808036,0,5,2.5237767207980601
4,2,1,88.569015477044388,93.127727750829564,1.3945956676989391,-10.567171925668672,1,4,0
4,3,1,-54.542121656216551,23.505719773323637,19.002234326948116,1.4098956602690667,0,5,0.68541433218178527
5,1,1,-47.862106695200382,73.349265892169782,-18.099116050533567,26.170325712648829,0,6,1.4046652844746765
5,2,1,89.893841357484263,92.336877911750733,7.4537514470841923,-11.834385913947131,0,5,0.18376800744282698
5,3,1,-53.494505054858273,21.297286100019754,19.498029514350701,-10.178054635256911,0,6,1.4996488792376974
6,1,1,-48.613201360675774,71.882926980795048,-17.418871104580646,13.902242558641412,0,7,2.7475863648162964
6,2,1,92.918422264970474,92.9403271327851,18.527814697100467,-6.8434718476177814,0,6,1.9741775667428549
6,3,1,-53.61960301447413,21.308175207387379,14.63475428594014,-7.8799709326893606,0,7,0.52656588061007525
7,1,1,-49.029084800882075,72.267732718512903,-15.649123964676821,12.695448492437491,0,8,0.13399398564980938
7,2,1,93.844812999825493,92.598153540404212,18.527814697100467,-6.8434718476177814,1,6,0
7,3,1,-52.43858217805797,20.238744506704553,16.382034467455743,-10.506753819971074,0,8,0.29065720350152213
8,1,1,-50.615678392761467,72.017230928066539,-18.432843357611425,9.6308540337986859,0,9,0.77861056569458009
8,2,1,95.069989075138864,90.962317617014421,19.497738908887879,-11.042989852075483,0,7,0.37345801972645876
8,3,1,-51.836419157979108,21.174337677586543,15.631047782581383,-5.4493822761399748,0,9,1.1874364317790813
9,1,1,-50.01648123551422,71.851067414012277,-13.696241373010526,7.6135952108296978,0,10,1.8110251754665532
9,2,1,91.905076226380899,92.534617906804471,7.3959138815026737,-4.8326123400996099,0,8,8.5097180754120387
9,3,1,-51.561126369311189,22.320242403138629,14.054319597921898,-1.0319055372020207,0,10,1.5032359881220367
10,1,1,-50.058101193706605,71.524003859840306,-11.877209956561044,5.6120045455946226,0,11,0.7283766228654579
10,2,1,93.821307778880055,92.870239207304692,11.532195854283001,-3.2886254446049685,0,9,1.5944367246647442
10,3,1,-49.372598485488346,21.177346073109707,18.256390003064496,-4.1182476552738763,0,11,2.7065947303863096
11,1,1,-50.651961691534659,71.80460408712004,-11.877209956561044,5.6120045455946226,1,11,0
11,2,1,94.960133118384377,91.936276011051902,12.922176553880961,-5.1911600298234637,0,10,0.71161195780943487
11,3,1,-49.003917637263946,20.218813420838273,16.847772947633622,-6.0665631151913617,0,12,0.81493189093093821
12,1,1,-51.339898604625176,71.465896026976168,-12.099124988277847,4.1511302354642989,0,12,0.24445740405819341
12,2,1,93.798526753428192,91.626625630603712,8.7618254479165962,-5.306444719049682,0,11,3.2273928722838594
12,3,1,-47.399509643206393,19.492820893384248,18.665892695349655,-7.0750079062401463,0,13,0.84119166784928201
13,1,1,-51.944854854039072,71.673452538749387,-12.099124988277847,4.1511302354642989,1,12,0
13,2,1,92.515210055930879,92.968820310593244,5.0544397126128997,-1.8443454447023022,0,12,6.6329685362137401
13,3,1,-46.598725407310695,17.342514542560242,18.372756644400575,-11.049302169872972,0,14,4.1707685796836227
14,1,1,-54.253421298894303,71.544830903667133,-15.510936715273131,3.4778679206048038,0,13,1.8293182579604061
14,2,1,92.129719505696016,91.569225254544563,3.7627656364044872,-4.4903385837632026,0,13,2.9861600006149711
14,3,1,-45.262191279423455,17.750613469272803,19.234362869963803,-9.0688396451587394,0,15,1.6206176370722722
15,1,1,-55.555222958976429,71.081521881695593,-16.491661735373867,2.2903816965833217,0,14,0.61125502208193505
15,2,1,91.191068059861593,90.577294945832492,1.6122044314989528,-5.9550035532999166,0,14,3.0356937312184895
15,3,1,-43.144122831228636,17.517256233803664,21.466566382419366,-8.6439909268901527,0,16,2.3315387662412861
16,1,1,-57.136114196552604,70.8631932645186,-17.813150636114784,1.7088005733749498,0,15,0.81892061295392982
16,2,1,90.042359549823118,91.227962088123789,-0.60704656078725883,-4.242855170388653,0,15,4.4937723639789677
16,3,1,-42.070794512107668,17.085056687459158,21.466566382419366,-8.6439909268901527,1,16,0
17,1,1,-57.152988734297246,71.693645537575065,-16.373330189105339,2.9364324568433031,0,16,1.9977802125678732
17,2,1,90.511665855919347,89.886278551873147,0.24843563759005216,-6.1767795773230452,0,16,3.2095375683165308
17,3,1,-41.234060436941114,17.45350083301701,21.063946535028656,-7.2815104385221749,0,17,0.97147560020059787
18,1,1,-57.975726563238737,71.583011257192297,-16.379686179245393,2.5345020291441762,0,17,0.12198822537151335
18,2,1,89.299536566891206,90.510795023570026,-1.7448019395798728,-4.6575296243262461,0,17,5.5793653531276268
18,3,1,-39.907624063454918,17.41021953365583,21.502325284807821,-6.7668352048580038,0,18,0.30380633316142025
19,1,1,-58.693986717504934,72.636412269748377,-16.230147235639201,3.9102806318950831,0,18,1.8877471045450502
19,2,1,89.212296469912218,90.277918542353717,-1.7448019395798728,-4.6575296243262461,1,17,0
19,3,1,-38.832507799214525,17.071877773412929,21.502325284807821,-6.7668352048580038,1,18,0
20,1,1,-58.264763391227241,73.369778543637054,-14.472924673738472,4.6720302236665532,0,19,4.5951655556885012
20,2,1,89.405980908602587,90.166552551094483,-1.3309943614478592,-4.4785421911105523,0,18,0.18644228647666264
20,3,1,-38.149715230670395,17.563102135075894,20.938452930448175,-5.5745304641873972,0,19,1.3191240590345992
21,1,1,-57.571713036479011,73.761855886903234,-12.553786068717129,4.8867106921562966,0,20,5.8127487302201457
21,2,1,89.666563246798432,89.793819356833779,-0.87170301346925139,-4.6874649974270728,0,19,0.30320639420160028
21,3,1,-36.538491016418035,16.973631256112341,21.709192642134031,-5.9989542631951682,0,20,0.81245315385931738
22,1,1,-58.552074895898684,74.623555441351229,-13.011798723796241,5.6884757546192111,0,21,1.6255265451333814
22,2,1,89.824410963774042,90.045577759512213,-0.60134774771775745,-4.0349982294700082,0,20,0.75113057576756836
22,3,1,-36.130810392792426,16.77574752162338,20.826203530673908,-5.8659885314287417,0,21,1.1092544756883767
23,1,1,-57.870810310842046,75.182127531744911,-11.35024560647101,6.0304890598504475,0,22,6.6167921936440219
23,2,1,89.355282390843442,89.452469663953266,-1.1661064239962546,-4.5383971571630841,0,21,1.0672728914453351
23,3,1,-35.222878517080225,17.484020643144436,20.65994779230796,-4.6175307051963017,0,22,2.8327101659667009
24,1,1,-58.782693293600175,75.733138461222751,-11.763688195212589,6.3300160926812872,0,23,0.71425058712536682
24,2,1,89.296977069643631,89.225549806095117,-1.1661064239962546,-4.5383971571630841,1,21,0
