step,track_id,innov_x,innov_y,S00,S01,S10,S11
1,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,1,0,0,0,0,0,0
2,2,1.8276917336933849,-5.6630233522332531,22.000003515625,0,0,22.000003515625
2,3,0,0,0,0,0,0
2,4,0,0,0,0,0,0
3,1,0,0,0,0,0,0
3,2,7.6862186578674425,-1.5170019792453502,20.863657319373505,0,0,20.863657319373505
3,3,1.4209105056394691,-1.5132622925267682,22.000003515625,0,0,22.000003515625
3,4,0,0,0,0,0,0
4,1,-5.2162277669430566,-6.0710783069039422,54.000123046874997,0,0,54.000123046874997
4,2,-3.7154677699834053,2.4100404710945895,20.470626581389286,0,0,20.470626581389286
4,3,5.9656021684250362,0.60179035334886066,20.863657319373505,0,0,20.863657319373505
4,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
4,6,0,0,0,0,0,0
5,1,2.2943417268660156,1.8005871552077082,21.833372384923635,0,0,21.833372384923635
5,2,1.0027630960949097,2.2646244186583289,19.008671572580543,0,0,19.008671572580543
5,3,0.21700263378723861,4.8134402005588584,20.470626581389286,0,0,20.470626581389286
5,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
5,7,0,0,0,0,0,0
6,1,1.220705960263615,9.754716302206333,17.862652980007045,0,0,17.862652980007045
6,2,-10.617347986721313,-0.62851306200994372,17.412310002190836,0,0,17.412310002190836
6,3,-0.10269361710542313,7.4172993211072935,19.008671572580543,0,0,19.008671572580543
6,4,0,0,0,0,0,0
6,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
6,8,0,0,0,0,0,0
7,1,2.2093653150702508,5.6280737995823955,16.234699214848398,0,0,16.234699214848398
7,2,-5.5139731559153375,0.64095882013596395,16.082363198534317,0,0,16.082363198534317
7,3,-2.8851603530923811,-10.482759284678462,17.412310002190836,0,0,17.412310002190836
7,4,0,0,0,0,0,0
7,5,11.675738298717135,-4.8092482554611706,54.000123046874997,0,0,54.000123046874997
7,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
7,8,0,0,0,0,0,0
7,9,0,0,0,0,0,0
8,1,0,0,0,0,0,0
8,2,0.94006619894931021,0.62253944595084931,15.0461559383496,0,0,15.0461559383496
8,3,-5.4672770173440028,-3.5746482141752018,16.082363198534317,0,0,16.082363198534317
8,4,0,0,0,0,0,0
8,5,0,0,0,0,0,0
8,6,0,0,0,0,0,0
8,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
8,9,0,0,0,0,0,0
9,1,-2.3204502342776081,-3.0983524768938366,18.230572221985568,0,0,18.230572221985568
9,2,-3.7321122158683693,-0.72129516162699758,14.243789005006221,0,0,14.243789005006221
9,3,-3.843763192062049,-8.4340870864911608,15.0461559383496,0,0,15.0461559383496
9,4,-15.159707576787255,40.580761579202601,214.00159960937501,0,0,214.00159960937501
